# geoip6.tsv  start 	 end 	 country (/前缀 20 聚合)
26035000000000000000000000000000	26035fffffffffffffffffffffffffff	United States
26036000000000000000000000000000	26036fffffffffffffffffffffffffff	United States
26037000000000000000000000000000	26037fffffffffffffffffffffffffff	United States
26038000000000000000000000000000	26038fffffffffffffffffffffffffff	United States
26039000000000000000000000000000	26039fffffffffffffffffffffffffff	United States
2603a000000000000000000000000000	2603afffffffffffffffffffffffffff	United States
2603b000000000000000000000000000	2603bfffffffffffffffffffffffffff	United States
2603c000000000000000000000000000	2603cfffffffffffffffffffffffffff	United States
2603d000000000000000000000000000	2603dfffffffffffffffffffffffffff	United States
2603e000000000000000000000000000	2603efffffffffffffffffffffffffff	United States
2603f000000000000000000000000000	2603ffffffffffffffffffffffffffff	United States
26040000000000000000000000000000	26040fffffffffffffffffffffffffff	United States
26041000000000000000000000000000	26041fffffffffffffffffffffffffff	United States
26042000000000000000000000000000	26042fffffffffffffffffffffffffff	United States
26043000000000000000000000000000	26043fffffffffffffffffffffffffff	United States
26044000000000000000000000000000	26044fffffffffffffffffffffffffff	Canada
26045000000000000000000000000000	26045fffffffffffffffffffffffffff	United States
26046000000000000000000000000000	26046fffffffffffffffffffffffffff	United States
26047000000000000000000000000000	26047fffffffffffffffffffffffffff	United States
26048000000000000000000000000000	26048fffffffffffffffffffffffffff	United States
26049000000000000000000000000000	26049fffffffffffffffffffffffffff	United States
2604a000000000000000000000000000	2604afffffffffffffffffffffffffff	United States
2604b000000000000000000000000000	2604bfffffffffffffffffffffffffff	Puerto Rico
2604c000000000000000000000000000	2604cfffffffffffffffffffffffffff	United States
2604d000000000000000000000000000	2604dfffffffffffffffffffffffffff	United States
2604e000000000000000000000000000	2604efffffffffffffffffffffffffff	United States
2604f000000000000000000000000000	2604ffffffffffffffffffffffffffff	Canada
26050000000000000000000000000000	26050fffffffffffffffffffffffffff	United States
26051000000000000000000000000000	26051fffffffffffffffffffffffffff	Canada
26052000000000000000000000000000	26052fffffffffffffffffffffffffff	United States
26053000000000000000000000000000	26053fffffffffffffffffffffffffff	United States
26054000000000000000000000000000	26054fffffffffffffffffffffffffff	United States
26055000000000000000000000000000	26055fffffffffffffffffffffffffff	United States
26056000000000000000000000000000	26056fffffffffffffffffffffffffff	United States
26057000000000000000000000000000	26057fffffffffffffffffffffffffff	United States
26058000000000000000000000000000	26058fffffffffffffffffffffffffff	United States
26059000000000000000000000000000	26059fffffffffffffffffffffffffff	Canada
2605a000000000000000000000000000	2605afffffffffffffffffffffffffff	United States
2605b000000000000000000000000000	2605bfffffffffffffffffffffffffff	Canada
2605c000000000000000000000000000	2605cfffffffffffffffffffffffffff	United States
2605d000000000000000000000000000	2605dfffffffffffffffffffffffffff	United States
2605e000000000000000000000000000	2605efffffffffffffffffffffffffff	United States
2605f000000000000000000000000000	2605ffffffffffffffffffffffffffff	United States
26060000000000000000000000000000	26060fffffffffffffffffffffffffff	United States
26061000000000000000000000000000	26061fffffffffffffffffffffffffff	United States
26062000000000000000000000000000	26062fffffffffffffffffffffffffff	United States
26063000000000000000000000000000	26063fffffffffffffffffffffffffff	Canada
26064000000000000000000000000000	26064fffffffffffffffffffffffffff	United States
26065000000000000000000000000000	26065fffffffffffffffffffffffffff	United States
26066000000000000000000000000000	26066fffffffffffffffffffffffffff	United States
26067000000000000000000000000000	26067fffffffffffffffffffffffffff	United States
26068000000000000000000000000000	26068fffffffffffffffffffffffffff	United States
26069000000000000000000000000000	26069fffffffffffffffffffffffffff	United States
2606a000000000000000000000000000	2606afffffffffffffffffffffffffff	United States
2606b000000000000000000000000000	2606bfffffffffffffffffffffffffff	United States
2606c000000000000000000000000000	2606cfffffffffffffffffffffffffff	United States
2606d000000000000000000000000000	2606dfffffffffffffffffffffffffff	Canada
2606e000000000000000000000000000	2606efffffffffffffffffffffffffff	Canada
2606f000000000000000000000000000	2606ffffffffffffffffffffffffffff	United States
26070000000000000000000000000000	26070fffffffffffffffffffffffffff	Canada
26071000000000000000000000000000	26071fffffffffffffffffffffffffff	United States
26072000000000000000000000000000	26072fffffffffffffffffffffffffff	Puerto Rico
26073000000000000000000000000000	26073fffffffffffffffffffffffffff	United States
26074000000000000000000000000000	26074fffffffffffffffffffffffffff	United States
26075000000000000000000000000000	26075fffffffffffffffffffffffffff	United States
26076000000000000000000000000000	26076fffffffffffffffffffffffffff	Serbia
26077000000000000000000000000000	26077fffffffffffffffffffffffffff	United States
26078000000000000000000000000000	26078fffffffffffffffffffffffffff	United States
26079000000000000000000000000000	26079fffffffffffffffffffffffffff	United States
2607a000000000000000000000000000	2607afffffffffffffffffffffffffff	Canada
2607b000000000000000000000000000	2607bfffffffffffffffffffffffffff	United States
2607c000000000000000000000000000	2607cfffffffffffffffffffffffffff	Canada
2607d000000000000000000000000000	2607dfffffffffffffffffffffffffff	United States
2607e000000000000000000000000000	2607efffffffffffffffffffffffffff	United States
2607f000000000000000000000000000	2607ffffffffffffffffffffffffffff	United States
26080000000000000000000000000000	26080fffffffffffffffffffffffffff	United States
26084000000000000000000000000000	26084fffffffffffffffffffffffffff	United States
26088000000000000000000000000000	26088fffffffffffffffffffffffffff	United States
2608c000000000000000000000000000	2608cfffffffffffffffffffffffffff	United States
26090000000000000000000000000000	26090fffffffffffffffffffffffffff	United States
26094000000000000000000000000000	26094fffffffffffffffffffffffffff	United States
26098000000000000000000000000000	26098fffffffffffffffffffffffffff	United States
2609a000000000000000000000000000	2609afffffffffffffffffffffffffff	United States
2609c000000000000000000000000000	2609cfffffffffffffffffffffffffff	United States
2609e000000000000000000000000000	2609efffffffffffffffffffffffffff	United States
260c0000000000000000000000000000	260c0fffffffffffffffffffffffffff	United States
260c2000000000000000000000000000	260c2fffffffffffffffffffffffffff	United States
260c4000000000000000000000000000	260c4fffffffffffffffffffffffffff	United States
260c6000000000000000000000000000	260c6fffffffffffffffffffffffffff	United States
260c8000000000000000000000000000	260c8fffffffffffffffffffffffffff	United States
260ca000000000000000000000000000	260cafffffffffffffffffffffffffff	United States
260cc000000000000000000000000000	260ccfffffffffffffffffffffffffff	United States
260cd000000000000000000000000000	260cdfffffffffffffffffffffffffff	United States
260ce000000000000000000000000000	260cefffffffffffffffffffffffffff	United States
